Tahun,Populasi
1960,87.75
1961,90.1
1962,92.52
1963,95.02
1964,97.6
1965,100.3
1966,103
1967,105.9
1968,108.8
1969,111.8
1970,114.8
1971,117.9
1972,121
1973,124.2
1974,127.4
1975,130.7
1976,134
1977,137.3
1978,140.6
1979,144
1980,147.4
1981,150.9
1982,154.5
1983,158
1984,161.5
1985,165
1986,168.4
1987,171.7
1988,175
1989,178.2
1990,181.4
1991,184.6
1992,187.7
1993,190.9
1994,193.9
1995,196.9
1996,199.9
1997,202.8
1998,205.7
1999,208.6
2000,211.5
2001,214.4
2002,217.4
2003,220.3
2004,223.3
2005,226.3
2006,229.3
2007,232.4
2008,235.5
2009,238.6
2010,241.8
2011,245.1
2012,248.5
2013,251.8
2014,255.1
2015,258.4
2016,261.6
2017,264.7
2018,267.7
2019,270.6
2020,273.5
